1 2 3 4 5 6 7 8 9
0.6 0.1 0.2 0.0 0.8 0.0 0.1 0.0 0.1
17.6 21.6 12.8 8.3 62.0 15.6 14.0 11.4 18.8
71.0 64.2 58.8 40.3 76.9 31.6 33.1 21.9 31.7
32.0 3.8 11.6 2.8 22.8 2.2 5.7 13.4 17.5
18.3 14.1 15.7 13.1 11.0 13.4 14.8 14.4 12.9
8.7 7.9 8.7 7.6 7.2 2.3 3.3 2.8 2.0
23.5 21.6 20.3 17.3 15.9 25.4 17.9 18.3 10.1
11.4 12.6 12.7 10.0 13.2 11.7 10.1 9.3 6.1
21.1 23.3 17.0 13.2 5.1 2.0 3.1 1.9 1.5
22.8 17.4 18.6 15.1 10.6 5.0 6.6 6.5 2.6
4.1 4.3 0.0 0.9 8.4 1.2 0.9 0.3 3.3
0.3 0.3 0.1 0.2 0.4 0.0 0.3 0.1 0.0
10.5 9.9 0.3 0.4 6.3 0.2 1.4 0.2 0.5
1.3 1.8 2.0 1.7 36.9 8.1 8.2 6.9 2.0
24.3 0.0 0.0 0.0 46.4 0.5 0.0 0.0 1.8
52.0 52.1 1.6 1.3 47.4 51.3 3.5 2.7 51.0
45.4 50.1 49.0 51.0 44.4 41.2 44.5 40.4 42.6
48.1 13.6 10.1 11.1 9.6 10.3 9.2 9.4 9.2
89.7 87.4 85.6 82.8 90.7 89.9 90.2 88.0 90.6
0.1 0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.2
25.1 20.3 16.3 13.9 25.8 15.6 13.3 12.4 15.2
15 13 12 11 17 11 11 11 10
